,Date,GC=F,ETH-USD,^FTSE,AVDO-USD,GC=F_z_norm,ETH-USD_z_norm,^FTSE_z_norm,AVDO-USD_z_norm
2166,2022-09-13,1705.0,1580.7879638671875,7385.89990234375,1274.0582275390625,-1.5605608997480114,-0.4547739955711596,-0.40557218708614146,0.8176953479726481
2167,2022-09-14,1696.5,1634.7550048828125,7277.2998046875,1239.1036376953125,-1.6389446653288113,-0.34603085953154245,-0.8604704749237501,0.720117146930937
2168,2022-09-15,1665.4000244140625,1471.6934814453125,7282.10009765625,1289.2457275390625,-1.9257368060225433,-0.6745984647270434,-0.8403632641593993,0.8600923245913272
2169,2022-09-16,1671.699951171875,1432.44775390625,7236.7001953125,1274.948974609375,-1.8676412787095336,-0.7536782773022483,-1.0305319499145171,0.8201819311965622
2171,2022-09-20,1659.699951171875,1324.38818359375,7192.7001953125,1157.7451171875,-1.9783007124706626,-0.9714174072180907,-1.214836799512439,0.49299910303299105
2172,2022-09-21,1664.5999755859375,1252.6077880859375,7237.60009765625,873.7061767578125,-1.9331145518810073,-1.116054303493794,-1.0267624870482066,-0.29991561737470324
2173,2022-09-22,1670.800048828125,1327.68017578125,7159.5,979.8225708007812,-1.875939835692841,-0.9647840705083195,-1.3539040041418013,-0.0036842246439517576
2174,2022-09-23,1645.300048828125,1328.259521484375,7018.60009765625,979.8255615234376,-2.11109113243524,-0.963616693764602,-1.9440979884560448,-0.003675875830879507
2175,2022-09-26,1623.300048828125,1335.3201904296875,7021.0,905.3553466796876,-2.3139667609973107,-0.9493895049248707,-1.934045405717078,-0.21156472900082063
2176,2022-09-27,1626.699951171875,1330.127685546875,6984.60009765625,959.9793701171876,-2.2826141553137678,-0.9598523588118306,-2.0865153722362573,-0.059077917840467134
2177,2022-09-28,1660.4000244140625,1337.410888671875,7005.39990234375,959.974609375,-1.9718449034230139,-0.9451767654622392,-1.999390261449988,-0.059091207787806445
2178,2022-09-29,1658.5,1335.65234375,6881.60009765625,959.7525634765624,-1.989366205572387,-0.9487202187639657,-2.517956270158665,-0.059711064562412736
2179,2022-09-30,1662.4000244140625,1327.9786376953125,6893.7998046875,959.8961181640624,-1.9534016644628256,-0.9641826722490718,-2.4668547890329093,-0.059310321534959944
2180,2022-10-03,1692.9000244140625,1323.439208984375,6908.7998046875,972.142822265625,-1.6721422703199558,-0.9733295831147741,-2.404023590306345,-0.025122783925094466
2181,2022-10-04,1721.0999755859375,1362.1265869140625,7086.5,933.5799560546876,-1.4120930512556908,-0.8953748403300799,-1.6596825046110806,-0.13277374274612255
2182,2022-10-05,1711.4000244140625,1352.837158203125,7052.60009765625,958.18359375,-1.501542309938215,-0.9140929614468433,-1.8016806046758325,-0.06409095413031271
2183,2022-10-06,1711.699951171875,1351.70947265625,6997.2998046875,960.124755859375,-1.4987764995057697,-0.9163652383871008,-2.033319517819616,-0.05867206329480735
2184,2022-10-07,1700.5,1332.5169677734375,6991.10009765625,960.1069946289062,-1.602058187408435,-0.9550379751192932,-2.059288519454746,-0.05872164502141822
